Start Latitude,Start Longitude,End Latitude,End Longitude,Transect number,CTD #/flow File,Depth (m),Total bacteria/mL,Active bacteria/mL,Dead bacteria/mL,Protozoa/mL,Phytoplankton/mL,,,,,,integrated Phytoplankton/mL
-64.33332,59.99913,-64.34364,60.00067,7,CTD75 syto13.001,10.444,75347.94118,19759.76852,25950.16997,94.24560274,3277.652629,,,,,,
-64.33332,59.99913,-64.34364,60.00067,7,CTD75 syto13.002,49.926,98910.97765,18659.24242,35427,51.36136022,815.3615935,,,,,,
-64.33332,59.99913,-64.34364,60.00067,7,CTD75 syto13.003,66.4,63700.38251,23022.58824,25781.89046,95.42015738,2163.992855,,,,,,
-64.33332,59.99913,-64.34364,60.00067,7,CTD75 syto13.004,90.234,61448.975,14999.20233,25243.43066,,,,,,,,6257.007077
-65.49921,59.99739,-65.50094,59.99617,7,CTD77 syto13.001,11.708,67158.94464,8515.079114,27220.91445,228.3498313,5553.273556,,,,,,
-65.49921,59.99739,-65.50094,59.99617,7,CTD77 syto13.002,51.389,61292.57053,8833.112094,23587.23404,130.2446569,3147.579208,,,,,,
-65.49921,59.99739,-65.50094,59.99617,7,CTD77 syto13.003,71.169,75852.28625,7091.847134,29264.83923, , ,,,,,,
-65.49921,59.99739,-65.50094,59.99617,7,CTD77 syto13.004,112.327,41554.77941,7084.380665,22531.07383,89.88238039,1378.196499,,,,,,10079.04926
-66.31508,59.99869,-66.31366,59.99972,7,CTD79 syto13.001,10.321,71516.38037,21741.5508,30724.37824,246.6539741,7834.399109,,,,,,
-66.31508,59.99869,-66.31366,59.99972,7,CTD79 syto13.002,39.678,94707.39535,29466.26667,40918.7234,159.4905396,3389.849775,,,,,,
-66.31508,59.99869,-66.31366,59.99972,7,CTD79 syto13.003,59.493,145562.6536,43180.49669,53463.63184,267.0790732,2727.288228,,,,,,
-66.31508,59.99869,-66.31366,59.99972,7,CTD79 syto13.004,80.228,97045.53571,29476.15385,41460.92593,151.3808512,2732.424364,,,,,,16683.96148
-66.5567,59.98846,-66.55705,59.96785,7,CTD81 syto13.001,10.01,73205.74503,36717.05882,61623.38428,134.2243547,4985.476032,,,,,,
-66.5567,59.98846,-66.55705,59.96785,7,CTD81 syto13.002,40.257,153109.4663,29290.34404,55877.70751,446.9826484,8628.708518,,,,,,
-66.5567,59.98846,-66.55705,59.96785,7,CTD81 syto13.003,71.225,96343.51563,25706.66667,53449.92462,96.21212549,2440.74971,,,,,,
-66.5567,59.98846,-66.55705,59.96785,7,CTD81 syto13.004,119.769,75129.55466,20625.96226,47690.19231,35.07605088,1011.359467,,,,,,17066.29373
-66.6825,59.994,-66.68059,59.97529,7,CTD83 syto13.001,3.36,69823.05556,4871.939655,42411.49533,242.739677,2354.116867,,,,,,
-66.6825,59.994,-66.68059,59.97529,7,CTD83 syto13.002,15.293,61324.72973,3295.534884,39592.85714,194.1018276,2849.767741,,,,,,
-66.6825,59.994,-66.68059,59.97529,7,CTD83 syto13.003,46.418,42487.40741,2697.48731,21731.55172,191.4885495,1406.85465,,,,,,
-66.6825,59.994,-66.68059,59.97529,7,CTD83 syto13.004,119.286,37323.49673,1657.532751,18510.13889,78.70297984,422.1341646,,,,,,7032.873423
-66.93228,59.93969,-66.933,59.93922,7,CTD85 syto13.001,10.408,61856.66667,4837.132701,42759.60396,193.788962,1769.599205,,,,,,
-66.93228,59.93969,-66.933,59.93922,7,CTD85 syto13.002,20.217,56057.60417,4759.197248,44272.09945,196.7574496,2550.692029,,,,,,
-66.93228,59.93969,-66.933,59.93922,7,CTD85 syto13.003,39.079,53407.32143,3690.3125,31673.425,173.83845,2090.012274,,,,,,
